,Kingdom,Phylum,Class,Order,Family,Genus,Species
9dca246cdc5d4b97f83fa20efa60dfc3,d__Bacteria, p__Bacteroidota, c__Bacteroidia, o__Bacteroidales, f__Muribaculaceae, g__UBA3263, s__UBA3263 sp001689615
be4db2a0e1d0c33e7445d09e5c154c98,d__Bacteria, p__Bacteroidota, c__Bacteroidia, o__Bacteroidales, f__Muribaculaceae, g__UBA7173, s__UBA7173 sp900540205
cccbf8a72fe25e3311fd86cf66820a49,d__Bacteria, p__Firmicutes_A, c__Clostridia_258483, o__Oscillospirales, f__Acutalibacteraceae, g__UBA1417, s__UBA1417 sp003531055
cb7a228587b0b9cfb3d1b2d7a777bc5d,d__Bacteria, p__Firmicutes_A, c__Clostridia_258483, o__TANB77, f__CAG-508, g__CAG-273, g__CAG-273
a5649fd96131d7b88f58cd74070cc469,d__Bacteria, p__Bacteroidota, c__Bacteroidia, o__Bacteroidales, f__Marinifilaceae, g__Butyricimonas, s__Butyricimonas faecalis
9fc2ec4483fcf2f6b34f3bb17995c09b,d__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__RF32, f__CAG-239, g__UBA1254, g__UBA1254
6edbf27b10b7c6a86c19d0cbd1acb025,d__Bacteria, p__Firmicutes_A, c__Clostridia_258483, o__Lachnospirales, f__Lachnospiraceae, f__Lachnospiraceae, f__Lachnospiraceae
7354f6532a03a6031ed3b645e357706a,d__Bacteria, p__Verrucomicrobiota, c__Lentisphaeria, o__Victivallales, f__Victivallaceae, g__Victivallis, g__Victivallis
0bc104ddc7a86c60c8c3c9d34b311b7f,d__Bacteria, p__Bacteroidota, c__Bacteroidia, o__Bacteroidales, f__Bacteroidaceae, g__Prevotella, s__Prevotella copri
a03f737fab89dd039858d7fe6817dde8,d__Bacteria, p__Firmicutes_D, c__Bacilli, o__RF39, f__UBA660, g__CAG-710, s__CAG-710 sp000432595
c54ef619b6bdcf39508b464a9436b87d,d__Bacteria, p__Cyanobacteria, c__Vampirovibrionia, o__Gastranaerophilales, f__Gastranaerophilaceae, f__Gastranaerophilaceae, f__Gastranaerophilaceae
25bce61b95066cd469b8a9d71d550f1a,d__Bacteria, p__Bacteroidota, c__Bacteroidia, o__Bacteroidales, f__Bacteroidaceae, g__Alloprevotella, s__Alloprevotella timonensis
dbaefb6bba8535bd96279f891b3e7060,d__Bacteria, p__Bacteroidota, c__Bacteroidia, o__Bacteroidales, f__Rikenellaceae, g__Alistipes_A_871400, g__Alistipes_A_871400
2a8dc8ea97ba5174f1da58a6fea547e9,d__Bacteria, p__Firmicutes_B_370539, c__Peptococcia, o__Peptococcales, f__Peptococcaceae_369362, g__Peptococcus, s__Peptococcus niger
7acccd3718e3431e05ad638784ea9ba5,d__Bacteria, p__Firmicutes_A, c__Clostridia_258483, o__Acetivibrionales, f__DSM-8532, f__DSM-8532, f__DSM-8532
a22adf9cea194889c66a0e9b28768b1b,d__Bacteria, p__Bacteroidota, c__Bacteroidia, o__Bacteroidales, f__Bacteroidaceae, g__Paraprevotella, s__Paraprevotella xylaniphila
5a2bce5334f9d0c71e970ea101771b6b,d__Bacteria, p__Bacteroidota, c__Bacteroidia, o__Bacteroidales, f__Bacteroidaceae, g__Prevotella, s__Prevotella copri
5ba0598af64d2e1fe8fa1263e16e9fe8,d__Bacteria, p__Firmicutes_A, c__Clostridia_258483, o__TANB77, f__CAG-508, g__CAG-269, s__CAG-269 sp000431335
1a84426ecadc26a00217172ce4a0b550,d__Bacteria,d__Bacteria,d__Bacteria,d__Bacteria,d__Bacteria,d__Bacteria,d__Bacteria
470d06712d3550a6b961277abef0ac53,d__Bacteria, p__Bacteroidota, c__Bacteroidia, o__Bacteroidales, f__Bacteroidaceae, g__Alloprevotella, s__Alloprevotella timonensis
3e1cfe62e8ff8af24dccce45abb86fe9,d__Bacteria, p__Bacteroidota, c__Bacteroidia, o__Bacteroidales, f__Bacteroidaceae, g__Prevotella, g__Prevotella
79ea89ddfb3bb7f24fe60440c6ae63cb,d__Bacteria, p__Firmicutes_A, c__Clostridia_258483, o__Oscillospirales, f__Oscillospiraceae_88309, g__Faecousia, s__Faecousia sp000434635
c6479d3a0ede9bc8185d86d0df567a08,d__Bacteria, p__Firmicutes_A, c__Clostridia_258483, o__Peptostreptococcales, f__Anaerovoracaceae, g__Copromorpha, s__Copromorpha sp900066305
db340959f3e323131a6870dfa600e3c2,d__Bacteria, p__Firmicutes_D, c__Bacilli, o__RF39, f__UBA660, g__CAG-533, s__CAG-533 sp000434495
e6d64f4fb56ca7a144c0affb01a13c09,d__Bacteria, p__Firmicutes_A, c__Clostridia_258483, o__Lachnospirales, f__Lachnospiraceae, g__Anaerobutyricum, g__Anaerobutyricum
2ad11a8024b3eeee2e8e7c379b3c8e5d,d__Bacteria, p__Firmicutes_D, c__Bacilli, o__RF39, f__UBA660, g__CAG-533, s__CAG-533 sp000434495
b09eaa47730ab16817a4e31762424f7e,d__Bacteria, p__Bacteroidota, c__Bacteroidia, o__Bacteroidales, f__Bacteroidaceae, g__Prevotella, g__Prevotella
4b44533bb985a4bbfd61acca1ec94dd4,d__Bacteria, p__Firmicutes_D, c__Bacilli, o__RF39, f__UBA660, g__UBA2730, g__UBA2730
bcc2b91cd8ff117f99fd73fa651ba5bc,d__Bacteria, p__Firmicutes_A, c__Clostridia_258483, o__Oscillospirales, f__Acutalibacteraceae, g__Ruminococcus_E, g__Ruminococcus_E
ef95295ab9f1c0b1e3f265735f5430de,d__Bacteria, p__Firmicutes_A, c__Clostridia_258483, o__Oscillospirales, f__Ruminococcaceae, g__Faecalibacterium, s__Faecalibacterium prausnitzii_C_71358
f1b76d677f311bbc2039eb2baafd7679,d__Bacteria, p__Firmicutes_A, c__Clostridia_258483, o__Lachnospirales, f__Lachnospiraceae, g__Ruminococcus_B, g__Ruminococcus_B
f1788f757ff78deca07af52efebe3925,d__Bacteria, p__Bacteroidota, c__Bacteroidia, o__Bacteroidales, f__Bacteroidaceae, g__Prevotella, s__Prevotella stercorea
